"gene","SRR26204551","SRR26204552","SRR26204555","SRR26204556","SRR26204559","SRR26204560"
"ABCB8",462,293,285,369,209,330
"ABCB9",88,86,123,152,62,32
"ABCC1",573,2332,1057,2878,247,1207
"ABCC10",172,430,288,379,77,356
"ABCC11",13,3,9,0,5,3
"ABCC12",0,0,1,0,0,0
"ABCC13",13.5,6,1,16.5,101,5
"ABCC2",49,71,84,106,17,36
"ABCC3",353,598,494,539,221,1331
"ABCC4",88,177,124,187,122,127
"ABCC5",178,837,357,653,143,892
"ABCC5-AS1",0,0,0,0,0,0
"ABCC6",8,6,32,15,2,12
"ABCC6P1",1,0.5,1.5,0,0.5,0
"ABCC6P2",0,0,0,1,0,1
"ABCC8",7,7,7,20,3,8
"ABCC9",3,19,11,9,4,11
"ABCD1",1377,660,993,514,889,625
"ABCD1P2",0,0,0,0,0,0
"ABCD1P3",0,0,0,0,0,0
"ABCD1P4",0,0,0,0,0,0
"ABCD1P5",1,0,0,0,0,0
"ABCD2",8,46,10,15,1,10
"ABCD3",806,279,855,280,606,273
"ABCD4",357,576,358,565,152,438
"ABCE1",1319,798,951,841,813,548
"ABCF1",4688,2060,3172,2683,3411,1187
"ABCF2",658,377,483,492,451,255
"ABCF2-H2BK1",357,69,228,71,179,138
"ABCF2P1",0,0,0,0,0,0
"ABCF2P2",0,0,0,0,0,0
"ABCF3",1614,572,1258,882,1214,431
"ABCG1",309,1678,217,921,174,786
"ABCG2",3916,65,1345,146,695,261
"ABCG4",0,2,0,0,0,10
"ABCG5",0,2,0,1,0,3
"ABCG8",10,11,11,17,6,13
"ABHD1",14,18,18,30,7,20
"ABHD10",101,184,155,124,82,171
"ABHD11",2509,105,1230,199,1592,179
"ABHD12",3108,1780,1350,862,1750,1627
"ABHD12B",5,4,13,6,0,2
"ABHD13",334,520,396,436,172,186
"ABHD14A",37,92,32,73,13,60
"ABHD14A-ACY1",39,54,22,48,14,3
"ABHD14B",599,729,486,619,374,312
"ABHD15",262,482,372,709,109,247
"ABHD15-AS1",2,0,0,0,0,0
"ABHD16A",495,805,662,899,238,495
"ABHD16B",3,3,3,1,1,0
"ABHD17A",2111,3415,1946,3979,1313,864
"ABHD17AP1",0,0,2,2,0,0
"ABHD17AP3",0,1,3,0,3,0
"ABHD17AP4",0,0,2,0,0,0
"ABHD17AP5",7,5,12,0,0,0
"ABHD17AP6",0,0,12,0,0,0
"ABHD17AP7",0,0,0,0,0,0
"ABHD17AP8",0,0,0,0,0,0
"ABHD17AP9",0,0,0,0,0,0
"ABHD17B",224,844,181,500,153,201
"ABHD17C",3055,118,2281,188,3295,128
"ABHD18",243,326,296,312,128,176
"ABHD2",1011,2905,1609,3167,352,2406
"ABHD3",182,555,317,411,115,259
"ABHD4",1564,468,927,490,774,257
"ABHD5",5800,909,3593,634,2501,380
"ABHD6",53,106,95,87,43,143
"ABHD8",825,161,531,95,496,312
"ABI1",2055,2685,1719,2122,1312,1632
"ABI1P1",0,0,0,0,0,0
"ABI2",1042,358,463,424,416,255
"ABI3",359,1050,740,694,448,570
"ABI3BP",15,22,7,133,0,144
"ABITRAM",858,131,417,117,536,143
"ABITRAMP1",0,0,0,0,0,0
"ABL1",695,2163,765,2207,276,854
"ABL2",1000,3106,744,2949,407,2670
"ABLIM1",582,2374,394,4214,120,808
"ABLIM2",6,18,26,11,12,4
"ABLIM3",42,104,47,178,12,150
"ABO",22,15,51,51,25,7
"ABR",1069,3359,1839,3252,701,2987
"ABR-AS1",0,0,0,0,0,0
"ABRA",0,0,0,1,0,0
"ABRACL",444,601,574,489,345,465
"ABRAXAS1",223,211,256,196,135,117
"ABRAXAS1P1",0,0,0,0,0,0
"ABRAXAS1P2",17,12,20,17,10,5
"ABRAXAS2",723,231,423,228,433,203
"ABT1",1233,416,737,568,824,218
"ABT1P1",0,0,0,0,1,0
"ABTB1",656,913,1418,1066,541,418
"ABTB2",801,594,519,734,462,309
"ABTB3",40,234,78,335,15,36
"ACAA1",1674,1263,1776,1430,1113,628
"ACAA2",2354,731,1404,786,1030,787
"ACAA2P1",13,3,3,0,1,0
"ACACA",264,281,217,433,95,275
"ACACB",85,164,230,370,47,285
"ACAD10",178,215,289,230,92,181
"ACAD11",184,371,189,307,85,183
"ACAD8",198,320,501,345,110,160
"ACAD9",1095,372,586,479,846,575
"ACAD9-DT",6,0,3,11,5,5
"ACADL",102,10,44,28,33,36
"ACADM",416,357,414,327,197,453
"ACADS",670,171,404,165,450,200
"ACADSB",207,228,206,236,112,179
"ACADVL",9144,2739,6382,5211,7615,3347
"ACAN",2,7,2,6,2,143
"ACAP1",472,2537,1655,2104,158,312
"ACAP2",1371,1672,1669,1074,631,870
"ACAP2-IT1",0,1,4,2,0,1
"ACAP3",504,536,712,872,296,317
"ACAT1",187,396,346,368,191,539
"ACAT2",189,407,184,414,95,173
"ACBD3",3600,1392,2294,2039,2179,1217
"ACBD3-AS1",4,0,0,1,1,0
"ACBD4",360,65,267,126,270,58
"ACBD5",1421,621,916,584,836,543
"ACBD6",1756,399,972,345,812,297
"ACBD7",23,60,32,64,12,9
"ACCS",91,202,133,189,65,168
"ACCSL",0,0,0,0,0,0
"ACD",255,310,277,345,226,130
"ACE",55,346,63,276,34,1022
"ACE2",6,3,8,9,3,20
"ACE2-DT",0,0,0,2,1,1
"ACE3P",0,0,0,0,0,0
"ACER1",5,6,12,11,0,2
"ACER2",621,30,273,68,156,271
"ACER2P1",0,0,0,0,0,0
"ACER3",3418,827,1678,618,1429,786
"ACHE",32,93,12,114,64,17
"ACIN1",3699,3816,3666,4481,2264,2189
"ACKR1",4,0,0,2,0,122
"ACKR2",1731,42,799,91,837,671
"ACKR3",124,451,82,516,113,1670
"ACKR4",7,4,1,12,0,16
"ACKR4P1",0,0,0,0,0,0
"ACLY",3720,1777,2929,1987,2493,1588
"ACMSD",2,1,1,0,0,0
"ACNATP",0,0,0,0,0,0
"ACO1",1519,586,970,354,1014,475
"ACO2",2643,1583,2144,2075,1668,1682
"ACOD1",102,2519,76,8031,276,1014
"ACOT1",194,47,87,11,186,93
"ACOT11",144,157,97,181,103,187
"ACOT12",0,0,0,0,0,0
"ACOT13",898,139,484,111,516,252
"ACOT2",1056,386,368,232,886,403
"ACOT4",132,19,89,7,137,26
"ACOT6",0,0,0,0,1,0
"ACOT7",1072,389,476,358,689,347
"ACOT8",339,122,267,173,277,111
"ACOT9",542,1559,742,2196,282,671
"ACOX1",1887,675,1328,580,1231,1065
"ACOX2",2,8,5,11,2,33
"ACOX3",543,193,526,448,519,163
"ACOXL",2041,17,560,31,873,23
"ACOXL-AS1",7,1,10,1,4,4
"ACP1",3944,608,1714,693,2205,594
"ACP2",737,1430,467,598,297,1404
"ACP3",213,79,317,206,104,89
"ACP4",0,0,0,0,0,0
"ACP5",760,3962,662,1477,408,5520
"ACP6",55,111,125,98,44,65
"ACP7",6,17,8,29,5,7
"ACR",1,1,0,2,0,1
"ACRBP",86,120,138,89,65,125
"ACRP1",0,0,2,0,0,0
"ACRV1",0,0,1,1,2,0
"ACSBG1",2,5,12,16,11,6
"ACSBG2",3,0,0,2,1,0
"ACSF2",399,251,264,205,341,282
"ACSF3",320,505,516,724,178,276
"ACSL1",3559,18629,10238,53778,1285,6028
"ACSL3",346,1343,592,1044,187,1015
"ACSL3-AS1",0,0,0,0,0,0
"ACSL3P1",0,0,0,0,0,0
"ACSL4",8470,6066,6050,11283,5795,4645
"ACSL5",356,1550,587,2093,197,1170
"ACSL6",8,253,32,246,410,31
"ACSL6-AS1",0,0,0,0,0,0
"ACSM1",2,7,16,3,3,9
"ACSM2A",2,9,16,15,0,2
"ACSM2B",8,1,1,3,6,3
"ACSM3",70,79,80,114,24,33
"ACSM4",0,0,1,0,0,0
"ACSM5",0,43,9,50,2,58
"ACSM5P1",0,0,0,0,0,1
"ACSM6",0,1,1,0,1,0
"ACSS1",4827,1116,3281,1472,2046,764
"ACSS2",1237,344,774,352,903,359
"ACSS3",14,7,21,8,4,15
"ACTA1",4,6,3,13,15,15
"ACTA2",62,109,86,113,41,166
"ACTA2-AS1",0,2,6,6,3,0
"ACTB",43827,76138,109764,92444,35793,69909
"ACTBL2",6,2,7,0,3,3
"ACTBP1",4,1,10,6,2,9
"ACTBP11",4,4,5,7,1,3
"ACTBP12",3,0,2,0,1,1
"ACTBP14",0,1,3,1,1,2
"ACTBP15",1,3,3,11,4,9
"ACTBP16",0,2,0,0,4,1
"ACTBP2",1,2,6,3,4,6
"ACTBP4",3,9,7,5,5,2
"ACTBP6",0,0,3,2,0,0
"ACTBP7",1,2,5,0,1,5
"ACTBP8",3,7,37,7,1,4
"ACTBP9",3,4,2,1,0,4
"ACTC1",4,0,6,2,5,2
"ACTE1P",5,15,12,24,2,9
"ACTG1",41564,31811,37563,37812,51357,25742
"ACTG1P1",12,2,5,4,10,2
"ACTG1P10",0,1,1,0,0,1
"ACTG1P12",1,2,1,3,3,1
"ACTG1P13",0,0,0,0,0,0
"ACTG1P14",8,32,18,44,10,2
"ACTG1P15",1,1,3,1,0,3
"ACTG1P16",1,2,0,0,0,0
"ACTG1P17",8,26,24,38,7,14
"ACTG1P18",0,0,0,0,0,1
"ACTG1P19",0,1,0,3,0,1
"ACTG1P2",2,3,3,2,24,9
"ACTG1P20",5,9,3,18,4,4
"ACTG1P21",1,0,0,2,0,4
"ACTG1P22",1,0,1,0,4,0
"ACTG1P23",1,4,0,1,0,0
"ACTG1P24",0,0,1,0,2,0
"ACTG1P25",5,7,1,5,1,4
"ACTG1P3",7,12,12,27,5,3
"ACTG1P4",0,0,0,0,0,3
"ACTG1P9",43,114,21,31,10,10
"ACTG2",32,12,27,13,18,33
"ACTL10",15,11,9,8,7,8
"ACTL11P",1,0,0,0,1,0
"ACTL6A",511,142,441,190,303,267
"ACTL6B",0,0,0,0,0,0
"ACTL7A",0,0,0,0,0,0
"ACTL7B",0,0,0,1,0,0
"ACTL8",1,0,0,0,0,0
"ACTL9",0,0,0,0,0,0
"ACTMAP",571,189,312,177,355,299
"ACTN1",977,3289,3047,4843,367,4023
"ACTN1-DT",0,0,7,2,0,0
"ACTN2",3,14,3,24,0,14
"ACTN3",2,4,0,5,2,3
"ACTN4",11621,7259,9736,7922,9692,4680
"ACTN4P1",2,1,4,1,0,0
"ACTN4P2",0,0,0,0,0,0
"ACTP1",1,0,0,1,0,0
"ACTR10",2995,442,1667,516,2089,513
"ACTR1A",5752,1827,3707,2204,3849,1327
"ACTR1AP1",0,0,0,0,0,0
"ACTR1B",697,767,806,1564,278,468
"ACTR2",10867,7620,9723,7890,6054,5677
"ACTR3",6305,7171,7032,8047,4060,4808
"ACTR3-AS1",5,12,11,24,1,9
"ACTR3B",326,38,112,65,188,30
"ACTR3BP1",0,0,0,0,0,0
"ACTR3BP2",0,0,0,0,0,0
"ACTR3BP3",0,0,0,0,0,0
"ACTR3BP4",0,0,0,0,0,0
"ACTR3BP5",0,0,0,0,0,0
"ACTR3BP6",0,0,0,0,0,0
"ACTR3BP7",0,0,0,0,0,0
"ACTR3C",285,38,68,29,70,25
"ACTR3P2",0,0,0,0,0,0
"ACTR3P3",0,0,0,0,0,0
"ACTR5",90,214,141,278,45,72
"ACTR6",700,204,404,128,571,163
"ACTR6P1",0,0,0,0,0,0
"ACTR8",326,344,270,396,160,225
"ACTRT1",0,0,0,0,0,0
"ACTRT1P1",0,0,0,0,0,0
"ACTRT2",0,0,0,0,0,0
"ACTRT3",96,22,29,12,38,10
"ACVR1",488,317,399,320,270,416
"ACVR1B",137,600,359,853,73,315
"ACVR1C",8,34,7,25,1,7
"ACVR2A",158,281,56,501,36,173
"ACVR2B",1056,74,308,95,302,92
"ACVR2B-AS1",95,7,17,6,19,7
"ACVRL1",548,235,329,544,255,669
"ACY1",227,78,154,84,129,162
"ACY3",8,23,14,20,2,5
"ACYP1",243,62,134,32,204,22
"ACYP2",298,86,139,74,148,68
"ADA",346,2678,381,3381,450,802
"ADA2",4224,10292,6444,8620,2320,7054
"ADAD1",0,0,0,0,0,0
"ADAD1P1",0,4,0,0,0,0
"ADAD1P2",0,0,0,0,0,0
"ADAD2",9,41,1,17,2,9
"ADAL",68,53,91,41,56,37
"ADAM10",3642,3548,3492,3363,1781,3383
"ADAM11",5,1,8,4,2,1
"ADAM12",47172,804,12414,1361,13418,15776
"ADAM15",434,634,1334,1111,199,1120
"ADAM17",1423,3258,1309,5429,661,1710
"ADAM18",0,0,0,0,1,0
"ADAM19",1445,2425,1719,7062,474,3926
"ADAM1A",0,0,0,0,0,0
"ADAM1B",2,3,5,3,2,1
"ADAM2",0,0,1,0,0,0
"ADAM20",7,2,3,2,5,0
"ADAM20P1",3,3,4,2.5,0.5,0
"ADAM20P2",0,0,0,0,0,0
"ADAM20P3",0,0,0,0,0,0
"ADAM21",0,0,0,0,0,0
"ADAM21P1",0,0,0,0,0,0
"ADAM22",0,24,18,36,1,10
"ADAM23",3,18,3,65,0,7
"ADAM24P",0,0,0,0,0,0
"ADAM28",617,591,469,746,115,489
"ADAM29",2,1,9,11,3,3
"ADAM30",0,0,1,0,0,0
"ADAM32",19,34,36,33,12,12
"ADAM33",3,1,2,4,0,1
"ADAM3A",0,39,17,21,2,0
"ADAM3B",0,0,0,0,0,0
"ADAM5",2,0,0,0,0,0
"ADAM6",0,0,0,0,0,0
"ADAM7",0,0,0,0,0,0
"ADAM7-AS1",13,13,13,23,2,3
"ADAM7-AS2",0,0,0,0,0,0
"ADAM8",953,6029,2259,8692,246,1795
"ADAM9",644,1772,699,2262,262,3530
"ADAMDEC1",141,2435,74,334,17,537
"ADAMTS1",37,275,79,726,17,2639
"ADAMTS10",37,213,49,357,14,82
"ADAMTS12",0,2,0,7,0,6
"ADAMTS13",11,24,13,27,0,9
"ADAMTS14",6,41,6,17,0,7
"ADAMTS15",2,1,1,1,0,46
"ADAMTS16",0,0,0,1,0,0
"ADAMTS16-DT",3,5,8,9,4,4
"ADAMTS17",9,111,10,77,0,25
"ADAMTS18",2,26,0,27,0,17
"ADAMTS19",6,0,4,3,1,24
"ADAMTS19-AS1",2,0,2,2,0,1
"ADAMTS2",15,88,16,65,9,31
"ADAMTS20",1,0,0,0,1,4
"ADAMTS3",346,6,167,17,96,23
"ADAMTS4",23,74,33,272,12,190
"ADAMTS5",10,21,9,70,12,67
"ADAMTS6",596,46,201,96,231,55
"ADAMTS7",3,15,10,26,0,9
"ADAMTS7P1",0,4,2,7,0,6
"ADAMTS7P3",0,0,0,1,0,0
"ADAMTS7P4",3,5,0,0,0,0
"ADAMTS8",1,0,0,1,0,4
"ADAMTS9",2,6,16,113,3,122
"ADAMTS9-AS1",0,0,0,0,0,0
"ADAMTS9-AS2",0,1,4,2,2,10
"ADAMTSL1",39,45,14,237,11,89
"ADAMTSL2",5,9,3,18,6,0
"ADAMTSL3",46,57,66,89,22,28
"ADAMTSL4",6269,845,3530,1240,2136,1364
"ADAMTSL4-AS1",40,95,161,199,44,44
"ADAMTSL4-AS2",18,20,78,112,11,11
"ADAMTSL5",17,28,9,24,4,27
"ADAP1",281,865,1002,1186,269,461
"ADAP2",548,935,905,549,636,1527
"ADAR",6356,6897,6488,8057,3316,4518
"ADARB1",868,788,232,728,158,446
"ADARB2",1,1,6,3,1,2
"ADARB2-AS1",0,0,0,0,0,0
"ADAT1",892,295,712,385,622,413
"ADAT2",53,268,83,242,35,84
"ADAT3",189,113,110,124,132,44
"ADCK1",151,119,192,102,75,138
"ADCK2",545,457,346,344,212,509
"ADCK5",43,95,72,82,27,49
"ADCY1",7,9,5,12,3,4
"ADCY10",5,2,2,1,4,5
"ADCY10P1",14,44.5,38,56.5,6.5,19
"ADCY2",34,9,29,39,7,11
"ADCY3",279,1244,407,1047,72,614
"ADCY4",18,95,103,195,14,101
"ADCY5",86,3,52,15,50,19
"ADCY6",93,22,63,86,30,83
"ADCY6-DT",6,1,1,0,4,0
"ADCY7",1618,2924,2868,3850,1016,2043
"ADCY8",0,0,0,0,0,1
"ADCY9",116,292,241,445,54,220
"ADCYAP1",5,265,9,144,6,430
"ADCYAP1R1",0,1,0,0,0,1
"ADD1",4114,2987,4330,4374,3363,1890
"ADD2",136,51,164,321,208,27
"ADD3",876,2023,1707,2465,314,794
"ADD3-AS1",4,8,8,6,0,4
"ADGB",0,0,4,2,0,1
"ADGB-DT",0,0,0,0,0,0
"ADGRA1",0,0,0,0,0,0
"ADGRA1-AS1",0,0,0,0,0,0
"ADGRA2",35,87,75,105,17,51
"ADGRA3",358,52,106,95,74,74
"ADGRA3P1",3,0,2,0,0,0
"ADGRB1",37,66,23,65,15,14
"ADGRB2",5,14,4,9,4,19
"ADGRB3",2,1,0,11,1,2
"ADGRB3-DT",8,8,21,17,4,3
"ADGRD1",31,64,90,71,31,112
"ADGRD1-AS1",0,0,0,0,0,0
"ADGRD2",25,35,32,63,4,26
"ADGRE1",405,388,1184,517,161,59
"ADGRE2",1322,1894,3334,2564,794,1172
"ADGRE3",95,226,268,264,22,28
"ADGRE4P",0,0,0,0,0,0
"ADGRE5",5575,18828,7425,24751,2074,4454
"ADGRF1",21,24,35,63,11,18
"ADGRF2",0,0,0,0,0,1
"ADGRF3",3,14,11,7,2,1
"ADGRF4",335,9,120,20,119,90
"ADGRF5",37,85,10,321,13,373
"ADGRF5-AS1",0,0,0,0,0,0
"ADGRF5P1",0,0,4,0,11,2
"ADGRF5P2",0,0,0,0,0,0
"ADGRG1",498,1335,560,2210,165,700
"ADGRG2",33,4,17,20,19,6
"ADGRG3",28,1964,2171,1843,16,183
"ADGRG4",0,0,0,0,0,1
"ADGRG5",87,272,73,192,34,15
"ADGRG6",1728,149,1066,577,820,624
"ADGRG7",0,0,0,0,0,0
"ADGRL1",36,372,78,388,15,49
"ADGRL1-AS1",36,63,80,98,43,33
"ADGRL2",44,47,24,145,10,164
"ADGRL3",268,2,162,4,174,30
"ADGRL3-AS1",0,0,0,0,0,0
"ADGRL4",17,97,10,191,1,342
"ADGRV1",96,41,36,40,31,20
"ADH1A",0,0,0,0,0,0
"ADH1B",11,8,6,11,0,1
"ADH1C",0,1,0,1,0,1
"ADH4",2,3,0,2,0,0
"ADH5",448,497,711,635,216,799
"ADH5P2",0,0,0,0,0,0
"ADH5P3",0,0,0,0,0,0
"ADH5P4",0,0,0,0,0,0
"ADH5P5",0,0,1,1,1,0
"ADH6",0,0,0,0,0,0
"ADH7",0,0,0,0,0,0
"ADHFE1",5061,106,2858,247,4328,109
"ADI1",5872,665,2657,811,3228,728
"ADI1P1",0,0,0,0,0,0
"ADI1P2",0,0,0,0,0,0
"ADI1P3",0,0,0,0,0,0
"ADIG",0,0,0,0,0,0
"ADIPINT",5,6,4,12,0,6
"ADIPOQ",0,8,5,18,2,4
"ADIPOQ-AS1",4,0,0,15,4,1
"ADIPOR1",8222,2776,4688,4928,6559,2201
"ADIPOR1P1",0,0,0,0,0,0
"ADIPOR1P2",0,0,0,0,0,1
"ADIPOR2",1298,2266,1336,2099,753,1169
"ADIRF",2378,25,1054,115,1011,57
"ADIRF-AS1",998,94,364,143,387,105
"ADISSP",196,226,874,252,143,228
"ADK",2859,296,1304,319,1751,472
"ADM",3437,2311,2009,2850,1846,5550
"ADM-DT",8,6,5,17,4,2
"ADM2",4,48,10,65,5,74
"ADM5",13,6,5,12,2,3
"ADNP",2702,2033,2183,1912,1677,1025
"ADNP-AS1",14,6,12,2,24,1
"ADNP2",728,1042,567,1476,452,408
"ADO",398,393,361,333,278,207
"ADORA1",132,18,243,32,100,31
"ADORA2A",284,3774,341,9318,103,773
"ADORA2A-AS1",81,74,80,141,35,10
"ADORA2B",50,186,39,144,48,131
"ADORA2BP1",0,1,0,0,0,0
"ADORA3",16,198,48,105,18,171
"ADPGK",1284,2555,2312,3392,674,1666
"ADPGK-AS1",36,50,34,66,18,11
"ADPRH",2035,533,1430,966,1803,459
"ADPRHL1",271,137,95,317,124,195
"ADPRM",134,86,105,86,74,53
"ADPRS",460,248,348,384,341,222
"ADRA1A",0,6,4,2,4,8
"ADRA1B",0,5,0,5,0,7
"ADRA1D",0,3,2,11,0,8
"ADRA2A",6,0,4,6,1,2
"ADRA2B",110,143,200,242,135,34
"ADRA2C",51,2,3,0,54,17
"ADRB1",52,79,28,56,2,35
"ADRB2",239,619,369,507,57,173
"ADRB3",1,1,0,0,0,1
"ADRM1",2811,1155,2178,1558,2057,791
"ADSL",731,660,781,733,416,366
"ADSS1",205,66,156,74,94,58
"ADSS2",1652,1010,1912,1042,834,859
"ADTRP",10,74,14,144,4,54
"AEBP1",70,76,94,143,22,69
"AEBP2",1749,834,897,621,1301,402
"AEN",794,562,416,638,332,424
"AFAP1",123,257,72,434,55,1784
"AFAP1-AS1",1,4,4,4,1,11
"AFAP1L1",124,48,58,157,50,331
"AFAP1L2",10,152,10,163,5,74
"AFDN",2068,352,995,492,1340,639
"AFDN-DT",13,10,9,22,6,14
"AFF1",31532,1434,18349,2224,22759,2572
"AFF2",56,25,241,58,28,38
"AFF2-IT1",0,0,0,0,0,0
"AFF3",1127,219,424,491,296,195
"AFF4",4260,3405,2556,4261,2232,2649
"AFF4-DT",4,0,0,0,0,0
"AFF4P1",0,0,0,0,0,0
"AFG1L",102,55,82,38,64,52
"AFG3L1P",291,263,313,338,150,163
"AFG3L2",1269,668,936,923,813,665
"AFG3L2P1",0,1,0,0,0,0
"AFM",1,0,0,0,0,0
"AFMID",111,123,130,151,51,151
"AFP",0,0,0,0,0,0
"AFTPH",1892,2103,2175,2382,1705,977
"AFTPH-DT",36,42,40,88,12,20
"AGA",151,274,210,253,37,214
"AGA-DT",320,8,114,10,169,36
"AGAP1",1566,59,566,91,542,72
"AGAP1-IT1",51,0,14,1,42,1
"AGAP10P",8,12,0,31,3,0
"AGAP11",10,0,0,0,14,8
"AGAP12P",1.5,2,0,0,0,0
"AGAP13P",0,8,5,27,0,4
"AGAP14P",0,0,0,0,0,0
"AGAP2",144,803,635,1043,54,154
"AGAP2-AS1",8,10,6,14,0,7
"AGAP3",1065,3620,651,3179,595,1815
"AGAP4",99,141,146,172,67,60
"AGAP5",47,58,100,75,38,93
"AGAP6",41,279,220,304,89,173
"AGAP7P",0,0,2,0,12,0
"AGAP9",52,170,77,70,25,167
"AGBL1",6,5,1,4,1,3
"AGBL1-AS1",0,0,0,0,0,0
"AGBL2",4,19,12,23,2,1
"AGBL3",9,4,13,3,11,7
"AGBL4",13,4,7,4,1,3
"AGBL4-AS1",0,0,0,0,0,0
"AGBL4-IT1",0,0,0,0,0,0
"AGBL5",1812,137,660,208,783,139
"AGBL5-AS1",3,1,2,0,1,0
"AGBL5-IT1",0,1,0,1,0,0
"AGER",64,157,259,282,55,44
"AGFG1",5533,1981,5560,4388,3587,1362
"AGFG2",668,237,128,178,451,95
"AGGF1",738,292,761,292,497,312
"AGGF1P1",0,0,0,0,1,0
"AGGF1P10",0,0,0,0,0,0
"AGGF1P2",0,3,1,0,0,0
"AGGF1P3",0,0,0,0,0,2
"AGGF1P4",0,0,0,0,0,0
"AGGF1P5",0,0,0,0,0,0
"AGGF1P6",0,0,0,0,0,0
"AGGF1P7",0,0,0,0,0,0
"AGGF1P8",0,0,0,0,0,0
"AGGF1P9",0,0,0,0,0,0
"AGK",289,479,319,559,199,200
"AGK-DT",0,0,0,0,1,0
"AGKP1",1,0,0,0,0,0
"AGKP2",0,1,0,0,0,0
"AGL",444,291,433,353,164,321
"AGMAT",14,83,34,95,20,22
"AGMO",0,5,3,16,2,5
"AGO1",1141,1014,1227,1018,424,736
"AGO2",2025,4274,1534,7923,1150,1677
"AGO3",742,925,791,870,388,399
"AGO4",1378,918,2116,1300,598,603
"AGPAT1",1919,714,991,773,970,659
"AGPAT2",481,550,825,556,142,426
"AGPAT3",927,1198,1607,1628,802,779
"AGPAT4",182,1213,320,2009,100,662
"AGPAT5",2061,306,1588,395,1677,186
"AGPAT5P1",0,0,0,0,0,0
"AGPS",1116,724,1120,610,642,833
"AGR2",16,10,7,33,3,20
"AGR3",14,0,3,5,1,2
"AGRN",141,558,169,885,62,985
"AGRP",1,4,4,14,3,8
"AGT",2,2,0,1,0,0
"AGTPBP1",786,1609,1836,1887,321,551
"AGTR1",0,1,0,0,0,27
"AGTR2",0,0,0,0,0,0
"AGTRAP",568,813,1794,1017,306,473
"AGXT",5,30,2,20,0,8
"AGXT2",12,0,0,0,5,0
"AHCTF1",1162,1553,1009,1397,577,770
"AHCTF1P1",10,24,25,31,0,2
"AHCY",6036,777,2342,731,2430,1058
"AHCYL1",5534,1847,3464,1794,3372,1586
"AHCYL2",881,286,627,310,420,363
"AHCYP2",0,0,0,0,0,0
"AHCYP3",0,0,0,0,0,0
"AHCYP4",1,0,0,1,0,0
"AHCYP5",0,1,0,0,0,0
