,M02,F01,F02,M03,M04,M08,M09,M10,F08,F10,F11,F13,M16,M17,M18,F14,F15,F16,F17,M21,M22,M01,M05,F06,M07,F03,F04,F05,M06,F07,M11,F09,F12,M12,M13,M14,M15,M19,M20
HSFY3P,2,0,0,0,1,1,4,3,0,0,0,0,2,2,1,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,1,0,0,4,2,0,1,1,1
ENSG00000278847,0,0,0,0,1,2,2,4,0,0,0,0,0,0,1,0,0,0,0,3,1,3,0,0,2,0,0,0,1,0,1,0,0,1,1,1,0,2,2
ZFY,392,1,0,145,906,334,1066,902,0,0,0,0,436,530,421,0,0,0,0,944,825,247,257,0,343,0,0,0,270,0,379,0,0,440,474,328,396,568,748
ZFY-AS1,12,0,0,27,41,23,41,47,0,0,0,0,16,31,19,0,0,0,0,32,62,9,11,0,17,0,0,0,16,0,17,0,0,11,11,28,25,32,47
LINC00278,69,0,0,3,89,66,79,97,0,0,0,0,58,87,58,0,0,0,0,70,82,36,48,0,58,0,0,0,45,0,69,0,0,70,86,75,88,79,133
ENSG00000229308,9,0,0,0,9,7,18,9,0,0,0,0,12,13,16,0,0,0,0,13,10,11,10,0,10,0,0,0,2,0,6,0,0,4,12,2,2,17,21
PCDH11Y,410,4,23,94,409,383,287,498,16,25,4,25,323,774,253,24,14,30,6,385,443,302,366,7,265,19,21,11,314,16,377,22,15,358,708,462,738,522,748
RNU2-57P,2,0,0,0,5,5,0,4,0,0,0,0,2,4,5,0,0,0,0,6,1,1,2,0,2,0,0,0,6,0,3,1,0,2,5,4,3,3,7
VDAC1P6,4,0,0,1,6,7,1,6,1,0,1,1,7,20,4,0,2,0,1,5,8,3,9,1,5,1,0,0,6,1,6,1,0,7,15,19,17,11,14
EIF4A1P2,25,5,4,4,26,22,9,20,8,3,10,4,14,34,21,3,3,15,5,16,27,10,8,3,14,16,16,4,16,16,18,8,1,27,28,22,15,32,22
KRT18P10,15,4,2,8,24,10,11,15,2,0,2,1,9,19,14,5,2,0,2,13,12,6,11,3,9,2,6,4,10,6,22,3,1,12,25,12,18,15,28
TBL1Y,12,0,0,8,22,3,29,19,0,0,1,0,21,22,8,0,0,0,0,4,9,11,7,0,17,0,0,0,2,0,15,0,0,10,25,8,13,36,2
ENSG00000273906,19,0,0,16,54,6,55,20,0,0,0,0,21,43,17,0,0,0,0,31,11,7,19,0,12,0,0,0,3,0,37,0,0,13,28,13,18,42,16
PRKY,130,0,0,95,219,154,294,121,0,1,0,0,113,122,125,0,0,1,1,156,119,78,60,1,95,2,8,0,98,3,169,0,0,122,186,89,81,191,199
ENSG00000278212,4,0,0,5,7,5,2,8,0,0,0,0,9,21,5,1,0,1,0,1,2,3,4,0,7,3,1,0,8,2,16,5,0,8,18,8,11,10,14
ANKRD20A6P,1,0,0,0,2,3,0,1,0,0,0,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,3,9,3
SNX18P1Y,8,1,0,11,8,5,7,3,0,1,0,1,10,8,3,1,0,0,0,6,5,6,4,0,5,2,0,0,5,0,6,1,0,10,15,9,9,13,12
MXRA5Y,2,0,0,0,13,2,2,0,2,0,0,0,4,1,3,0,0,1,0,0,2,0,5,0,0,0,0,0,3,0,4,1,0,2,0,0,2,0,4
FAM8A4P,1,0,0,5,2,1,1,2,0,0,0,0,2,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,3,0,0,2,3,3,1,2,4
ARSLP1,7,0,0,4,5,1,0,1,0,0,0,0,0,5,1,0,0,1,0,1,1,3,6,0,3,0,0,0,3,0,2,0,0,1,5,1,2,1,4
ARSDP1,10,0,0,9,8,8,6,14,1,0,0,0,11,15,5,0,0,0,0,3,9,9,7,0,7,0,0,0,9,0,10,0,0,2,17,14,5,21,14
GYG2P1,32,0,0,39,59,45,58,72,0,0,0,0,28,38,33,0,0,0,0,29,27,11,20,0,25,0,0,0,26,0,42,0,0,37,38,34,41,65,68
SHROOM2P1,4,0,0,2,1,0,1,2,0,0,0,0,5,3,2,0,0,0,0,1,3,1,1,0,0,0,0,0,5,0,5,0,0,5,1,0,3,2,2
ENSG00000233864,281,0,0,174,648,330,756,624,0,0,0,0,298,359,296,0,0,0,0,390,410,175,219,0,280,0,0,0,205,0,310,0,0,314,351,282,367,464,597
USP9Y,1155,3,0,213,1769,1032,2580,1676,0,1,1,0,894,1167,817,0,0,0,1,1276,1079,608,669,1,795,0,0,0,667,0,1049,1,0,1048,1141,1108,1093,1517,1645
CDY4P,32,0,0,1,16,19,28,31,0,0,0,0,22,29,4,0,0,0,0,22,31,14,15,0,9,0,0,0,18,0,36,0,0,11,25,16,27,33,23
DDX3Y,1526,0,0,795,3995,1482,5714,3483,1,3,2,1,1632,1903,1710,0,0,0,0,3349,2381,788,1016,2,1236,1,1,0,1165,0,1641,2,0,1862,1534,1467,1700,2336,3117
DPPA2P1,7,0,0,0,15,0,8,8,0,0,0,0,12,7,9,0,0,0,0,7,8,2,2,0,2,0,0,0,4,0,7,0,0,2,9,6,1,8,4
UTY,1038,3,0,535,1665,971,2218,1718,0,1,0,0,1028,1290,838,0,0,0,0,1363,1101,555,641,3,753,0,0,0,715,0,1076,2,0,939,1327,954,1208,1437,1930
PSMA6P1,26,3,5,0,35,25,47,28,6,3,4,6,29,35,6,3,3,10,2,27,37,10,13,2,18,13,16,2,24,5,31,4,1,30,43,35,42,37,59
TMSB4Y,12,0,0,11,20,17,36,23,0,0,0,0,22,20,18,0,0,0,0,29,41,11,13,0,15,0,0,0,16,0,13,0,0,13,26,24,9,41,36
ANOS2P,51,0,0,38,45,42,69,46,0,0,0,0,61,38,62,0,0,0,0,31,27,38,27,0,25,0,0,0,37,0,57,0,0,33,63,40,29,99,86
NLGN4Y,33,0,0,13,133,19,67,28,0,0,0,0,54,29,47,3,0,0,0,36,46,20,14,0,35,0,2,2,24,0,45,0,0,60,32,45,29,38,45
AGKP1,2,0,0,0,2,0,3,2,0,0,0,0,5,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,0,0,8,6,5,2,0,2
FAM224B,5,0,0,5,4,3,3,4,0,0,0,0,3,2,2,0,0,0,0,2,0,2,1,0,2,0,0,0,1,0,1,0,0,5,1,3,1,9,5
TTTY14,99,0,0,58,138,76,190,79,0,0,0,0,111,39,100,0,0,0,0,70,95,48,65,0,46,0,0,0,79,0,138,2,0,104,81,110,24,52,154
ZNF839P1,18,0,0,3,24,9,12,11,0,0,0,0,7,4,5,0,0,0,0,3,7,9,3,0,7,0,0,0,6,0,13,0,0,5,26,17,3,10,18
TXLNGY,579,0,0,62,820,217,141,277,0,1,0,0,300,139,212,0,0,0,0,182,221,170,152,0,280,0,0,0,292,0,192,1,0,368,557,290,30,123,852
ENSG00000267793,8,0,0,0,3,3,0,7,0,0,0,0,3,2,3,0,0,0,0,2,5,2,1,0,2,0,0,0,3,0,1,0,0,3,5,7,0,1,5
ENSG00000260197,13,0,0,0,30,3,30,17,0,0,0,0,3,5,6,0,0,0,0,6,16,5,3,0,8,0,0,0,2,0,5,0,0,5,4,10,2,7,16
KDM5D,819,0,0,693,1212,921,1453,1055,0,0,0,0,996,1080,909,0,0,0,0,969,718,513,605,0,825,0,0,0,726,0,915,0,0,969,1229,835,900,1205,1692
TTTY10,18,0,0,5,23,17,28,19,0,0,0,0,10,14,9,0,0,0,0,6,8,7,12,0,7,0,0,0,13,0,16,0,0,10,27,22,11,12,24
KDM5DP1,1,0,0,0,2,2,4,2,0,0,0,0,1,3,4,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,3,0,3,3
EIF1AY,270,0,1,188,766,289,1062,724,0,3,1,0,287,416,312,0,0,0,0,843,802,160,184,1,239,0,0,0,187,0,312,1,0,365,277,275,315,485,567
SEPTIN14P23,3,0,0,2,4,2,4,5,0,0,0,0,0,5,6,0,0,0,0,4,5,3,1,0,2,0,0,0,2,0,3,0,0,2,3,4,3,5,4
TPTE2P4,2,0,0,0,36,1,0,0,0,0,0,0,34,1,0,0,0,0,0,2,38,0,11,0,1,0,0,0,0,0,0,1,1,0,13,0,0,1,1
