Gene_Symbol,comparacion,fc,pval,direction
CDKN2B-AS1,RNA5_TLR4/WT,1.46817510295991,0.100856064293876,up
X8,Clon/WT,-2.03975925240669,0.0770178910485799,down
X8,RNA7_FN1/WT,1.06452583949063,0.996257777335341,up
X8,RNA5_TLR4/WT,2.00969040608464,8.70280725251765e-08,up
X9,Clon/WT,-1.06672208401214,1.0,down
X9,RNA7_FN1/WT,-1.07857973302608,0.993997297977941,down
X9,RNA5_TLR4/WT,-1.27831518520205,0.435417693825179,down
X10,Clon/WT,-1.23014604687325,1.0,down
X10,RNA7_FN1/WT,1.01096274152058,0.999928367935626,up
X10,RNA5_TLR4/WT,-1.51453825932474,0.0945658191452942,down
BLCAP,Clon/WT,1.04624571018139,1.0,up
BLCAP,RNA7_FN1/WT,1.31344191247646,0.852806353648702,up
BLCAP,RNA5_TLR4/WT,-1.09364970806911,0.816893129744884,down
X11,Clon/WT,2.7394849789483,0.0254035588929827,up
X11,RNA7_FN1/WT,1.57517097148242,0.47313357238344,up
X11,RNA5_TLR4/WT,1.71803765047011,0.0196187219567799,up
LOC653712,Clon/WT,-1.27562408921557,1.0,down
LOC653712,RNA7_FN1/WT,1.21349999946216,0.945764369155335,up
LOC653712,RNA5_TLR4/WT,-1.12647542646653,0.727577424757943,down
MAGI2-AS3,Clon/WT,-1.03599953234015,1.0,down
MAGI2-AS3,RNA7_FN1/WT,1.34262800465096,0.74051289696482,up
MAGI2-AS3,RNA5_TLR4/WT,1.21209809821908,0.249064992194523,up
X12,Clon/WT,-1.19521772432816,1.0,down
X12,RNA7_FN1/WT,-1.13016554908385,0.984859954038798,down
X12,RNA5_TLR4/WT,-1.22885687954435,0.538266629868781,down
SNHG5,Clon/WT,1.05643160498692,1.0,up
SNHG5,RNA7_FN1/WT,-1.13657718123848,0.24638531732121,down
SNHG5,RNA5_TLR4/WT,1.11766492615593,0.175828086694248,up
X13,Clon/WT,1.1832419817594,1.0,up
X13,RNA7_FN1/WT,1.14838178987998,0.96551418215552,up
X13,RNA5_TLR4/WT,1.35695902000417,0.0206789540506937,up
PVT1,Clon/WT,1.13401956908344,1.0,up
PVT1,RNA7_FN1/WT,1.26949131239831,0.869224142916177,up
PVT1,RNA5_TLR4/WT,2.02367246334759,8.73225093850979e-07,up
MAP3K13,Clon/WT,-1.29270187746395,1.0,down
MAP3K13,RNA7_FN1/WT,-1.17280863223373,0.840044220250199,down
MAP3K13,RNA5_TLR4/WT,-1.15568750111856,0.283567689534908,down
ARMCX5-GPRASP2,Clon/WT,1.18394911471103,1.0,up
ARMCX5-GPRASP2,RNA7_FN1/WT,-1.08999382183549,0.993809511887536,down
ARMCX5-GPRASP2,RNA5_TLR4/WT,-1.36767988232349,0.264832997742573,down
LINC01291,Clon/WT,-1.89426739028522,0.678056627820535,down
LINC01291,RNA7_FN1/WT,4.26416270111952,1.33331383165343e-06,up
LINC01291,RNA5_TLR4/WT,-2.1254146626568,0.001093765456118,down
MIR570HG,Clon/WT,-1.25746182267966,1.0,down
MIR570HG,RNA7_FN1/WT,-1.68582878975194,0.264275756530329,down
MIR570HG,RNA5_TLR4/WT,1.02116104867378,0.943254902030137,up
LINC00472,Clon/WT,1.03962042308173,1.0,up
LINC00472,RNA7_FN1/WT,1.22542075263036,0.920754256805953,up
LINC00472,RNA5_TLR4/WT,2.01818028021255,5.89986704600545e-06,up
lnc-MYC-2,Clon/WT,1.65673306143541,0.390705019086621,up
lnc-MYC-2,RNA7_FN1/WT,3.16693091196024,2.43006095266892e-05,up
lnc-MYC-2,RNA5_TLR4/WT,4.83326256653389,0.0,up
DANT2,Clon/WT,1.20265719532694,1.0,up
DANT2,RNA7_FN1/WT,1.06687054275317,0.99780568073798,up
DANT2,RNA5_TLR4/WT,1.20652204115774,0.596902065566575,up
SNHG5,Clon/WT,1.00429288716157,1.0,up
SNHG5,RNA7_FN1/WT,-1.04242276637018,0.978112119824714,down
SNHG5,RNA5_TLR4/WT,1.29501520545748,0.0054916466930512,up
PVT1,Clon/WT,1.38996730905652,1.0,up
PVT1,RNA7_FN1/WT,1.17655724945117,0.961932808645353,up
PVT1,RNA5_TLR4/WT,1.8603065065511,1.21700785732364e-05,up
lnc-AC114947.1.1-2,Clon/WT,1.2416811125413,1.0,up
lnc-AC114947.1.1-2,RNA7_FN1/WT,1.49933253685582,0.50501761085024,up
lnc-AC114947.1.1-2,RNA5_TLR4/WT,1.57011677844137,0.0035448497602679,up
LINC01137,Clon/WT,1.1966886289181,1.0,up
LINC01137,RNA7_FN1/WT,-1.40250722270193,0.655123519145666,down
LINC01137,RNA5_TLR4/WT,-1.49071549324117,0.01409637290357,down
LOC389602,Clon/WT,1.29352403181962,1.0,up
LOC389602,RNA7_FN1/WT,1.04659247884521,0.998207836043923,up
LOC389602,RNA5_TLR4/WT,2.00505336140129,0.0005094165081771,up
ZNF678,Clon/WT,1.51968430841516,1.0,up
ZNF678,RNA7_FN1/WT,1.65971961715306,0.308401446789926,up
ZNF678,RNA5_TLR4/WT,1.56035407774057,0.0154330573667982,up
XIST,Clon/WT,1.15259946290182,1.0,up
XIST,RNA7_FN1/WT,1.3552977317455,0.792323469065078,up
XIST,RNA5_TLR4/WT,-1.53872897706433,0.136672832727038,down
X14,Clon/WT,1.16032377111734,1.0,up
X14,RNA7_FN1/WT,-1.60219608284418,0.414127349957871,down
X14,RNA5_TLR4/WT,-1.50137268215137,0.11791322727759,down
MAGI2-AS3,Clon/WT,-1.22559836808776,1.0,down
MAGI2-AS3,RNA7_FN1/WT,1.08309625558085,0.993809511887536,up
MAGI2-AS3,RNA5_TLR4/WT,-1.4216647131028,0.0930652596327818,down
X15,Clon/WT,1.20409566084767,1.0,up
X15,RNA7_FN1/WT,-1.15199293440368,0.980498583965119,down
X15,RNA5_TLR4/WT,1.05107212084653,0.882074041274358,up
LINC01278,Clon/WT,1.02250469947784,1.0,up
LINC01278,RNA7_FN1/WT,1.77120255530905,0.220400700012493,up
LINC01278,RNA5_TLR4/WT,1.29017930985721,0.305015653368274,up
X16,Clon/WT,1.01629217143989,1.0,up
X16,RNA7_FN1/WT,-1.27307449019707,0.849527440540407,down
X16,RNA5_TLR4/WT,-1.06819549558511,0.739549697515129,down
LOC101929563,Clon/WT,-1.09091142192197,1.0,down
LOC101929563,RNA7_FN1/WT,-1.15481397836618,0.980498583965119,down
LOC101929563,RNA5_TLR4/WT,-1.11064508426084,0.772533036292261,down
LOC93622,Clon/WT,-1.01527433799926,1.0,down
LOC93622,RNA7_FN1/WT,1.07738602053477,0.983682177485286,up
LOC93622,RNA5_TLR4/WT,1.04545026617313,0.800504996051235,up
JPX,Clon/WT,-1.06999974873102,1.0,down
JPX,RNA7_FN1/WT,1.20719932559269,0.462461304313948,up
JPX,RNA5_TLR4/WT,-1.40544776651,0.0021188346652079,down
MIR4435-2HG,Clon/WT,-1.23449155050311,1.0,down
MIR4435-2HG,RNA7_FN1/WT,-1.41953441569942,0.690284662388553,down
MIR4435-2HG,RNA5_TLR4/WT,-1.12261172122711,0.726004541170964,down
PVT1,Clon/WT,1.3969274963696,1.0,up
PVT1,RNA7_FN1/WT,1.42103658241829,0.502223604923068,up
PVT1,RNA5_TLR4/WT,1.253973412576,0.121442818947575,up
PVT1,Clon/WT,1.38062045799233,1.0,up
PVT1,RNA7_FN1/WT,1.43446169417724,0.582090617693799,up
PVT1,RNA5_TLR4/WT,1.17407755246779,0.362740632050824,up
lnc-ZNF674-3,Clon/WT,1.69967307266905,1.0,up
lnc-ZNF674-3,RNA7_FN1/WT,3.43276202495701,0.000167327530327,up
lnc-ZNF674-3,RNA5_TLR4/WT,4.18221174014625,9.72115281165479e-14,up
PPP4R1L,Clon/WT,-1.13757966097814,1.0,down
PPP4R1L,RNA7_FN1/WT,1.34574423225489,0.790402772712533,up
PPP4R1L,RNA5_TLR4/WT,1.0656175876507,0.850326641683139,up
MIR4435-2HG,Clon/WT,-1.22062917313784,1.0,down
MIR4435-2HG,RNA7_FN1/WT,-1.52931072599879,0.487970530884709,down
MIR4435-2HG,RNA5_TLR4/WT,-1.15179931463995,0.589309601479358,down
SNHG11,Clon/WT,-1.00248845516524,1.0,down
SNHG11,RNA7_FN1/WT,1.25616952183253,0.594363056475615,up
SNHG11,RNA5_TLR4/WT,-1.05199837206127,0.773402763563153,down
HCG18,Clon/WT,1.27084098262303,1.0,up
HCG18,RNA7_FN1/WT,1.20878320260665,0.932919931607007,up
HCG18,RNA5_TLR4/WT,1.17951865149743,0.38361573192655,up
SNHG11,Clon/WT,-1.13782994800523,1.0,down
SNHG11,RNA7_FN1/WT,-1.2798677962791,0.71398632496392,down
SNHG11,RNA5_TLR4/WT,-1.32693462236573,0.0209259040139411,down
RNASEH1,Clon/WT,-1.08245003118649,1.0,down
RNASEH1,RNA7_FN1/WT,1.29738351539535,0.83064522507847,up
RNASEH1,RNA5_TLR4/WT,1.24840000639364,0.250580453350366,up
LINC01197,Clon/WT,1.09411809326173,1.0,up
LINC01197,RNA7_FN1/WT,13.7863175693065,0.0,up
LINC01197,RNA5_TLR4/WT,11.8661893344038,0.0,up
GARS-DT,Clon/WT,1.3402470114233,1.0,up
GARS-DT,RNA7_FN1/WT,2.35564154743761,0.0256019827120565,up
GARS-DT,RNA5_TLR4/WT,1.64352035128769,0.0531351188189777,up
CTD-3080P12.3,Clon/WT,-1.08240058802338,1.0,down
CTD-3080P12.3,RNA7_FN1/WT,-1.06781628982961,0.996257777335341,down
CTD-3080P12.3,RNA5_TLR4/WT,-1.10566471215202,0.725152806729406,down
SNORA26,Clon/WT,-1.20853048466854,1.0,down
SNORA26,RNA7_FN1/WT,1.68761259084678,0.249798637894876,up
SNORA26,RNA5_TLR4/WT,1.63058136827869,0.0010843173840055,up
LINC00513,Clon/WT,-1.17623482542686,1.0,down
LINC00513,RNA7_FN1/WT,1.87700292453766,0.132102696520587,up
LINC00513,RNA5_TLR4/WT,1.9251965043567,0.0002017156094783,up
LINC01122,Clon/WT,-1.22746635979852,1.0,down
LINC01122,RNA7_FN1/WT,-1.04705377904807,0.998207836043923,down
LINC01122,RNA5_TLR4/WT,-1.04885811110112,0.845545875789401,down
KIF9-AS1,Clon/WT,1.03047557574816,1.0,up
KIF9-AS1,RNA7_FN1/WT,1.19422135206808,0.951926838540727,up
KIF9-AS1,RNA5_TLR4/WT,1.31789927516049,0.202441333892522,up
LINC00989,Clon/WT,1.00437544878578,1.0,up
LINC00989,RNA7_FN1/WT,-1.43356714838333,0.607580107118951,down
LINC00989,RNA5_TLR4/WT,1.0976339528403,0.681793835922102,up
NEAT1,Clon/WT,1.707629504469,0.316775862435095,up
NEAT1,RNA7_FN1/WT,1.16953107893476,0.965607679085145,up
NEAT1,RNA5_TLR4/WT,1.50963666616542,0.0100965691232421,up
TBXAS1,Clon/WT,-1.0730586896606,1.0,down
TBXAS1,RNA7_FN1/WT,-1.20364745399804,0.938291889107103,down
TBXAS1,RNA5_TLR4/WT,-1.04928400201854,0.83634918173137,down
LINC00887,Clon/WT,1.16513995717179,1.0,up
LINC00887,RNA7_FN1/WT,-1.06429085702653,0.997329379277138,down
LINC00887,RNA5_TLR4/WT,1.21826944973948,0.468414336015183,up
X17,Clon/WT,-1.13696882672924,1.0,down
X17,RNA7_FN1/WT,-1.12175095422582,0.984859954038798,down
X17,RNA5_TLR4/WT,-1.22862420648313,0.443566382333024,down
lnc-BTBD10-3,Clon/WT,1.00087180940204,1.0,up
lnc-BTBD10-3,RNA7_FN1/WT,1.29772892666222,0.829836514354808,up
lnc-BTBD10-3,RNA5_TLR4/WT,1.06176406282519,0.808740017285068,up
PURPL,Clon/WT,-1.22266874816928,1.0,down
PURPL,RNA7_FN1/WT,13.2576632646496,0.0,up
PURPL,RNA5_TLR4/WT,1.08294435063037,0.836235068760482,up
LINC01023,Clon/WT,-1.22070464010518,1.0,down
LINC01023,RNA7_FN1/WT,1.00523826410938,0.999928367935626,up
LINC01023,RNA5_TLR4/WT,-1.17966717097793,0.486989913843101,down
LOC648987,Clon/WT,-1.06140195470663,1.0,down
LOC648987,RNA7_FN1/WT,-1.19744111525997,0.941703702633203,down
LOC648987,RNA5_TLR4/WT,-1.15547137287834,0.422961934348991,down
X18,Clon/WT,-1.07056700034536,1.0,down
X18,RNA7_FN1/WT,1.08724172714703,0.993809511887536,up
X18,RNA5_TLR4/WT,-1.36077498131872,0.259333165081311,down
LINC01193,Clon/WT,1.22848925905245,1.0,up
LINC01193,RNA7_FN1/WT,2.36593440504714,0.0261761252118207,up
LINC01193,RNA5_TLR4/WT,4.09124724596333,3.0541631844796197e-12,up
X19,Clon/WT,1.15180830628488,1.0,up
X19,RNA7_FN1/WT,1.17662993081468,0.976079347050134,up
X19,RNA5_TLR4/WT,1.01922933993345,0.969734508749538,up
LINC01978,Clon/WT,-1.68923836483449,0.154910367102853,down
LINC01978,RNA7_FN1/WT,-1.94209644793083,0.0441305030735399,down
LINC01978,RNA5_TLR4/WT,-1.95058217715244,1.0247337783425601e-09,down
X20,Clon/WT,-1.14086313470757,1.0,down
X20,RNA7_FN1/WT,-1.09346044804952,0.993230336634882,down
X20,RNA5_TLR4/WT,-1.27568084985936,0.318181548580705,down
X21,Clon/WT,1.15942620971708,1.0,up
X21,RNA7_FN1/WT,1.24249473850797,0.780990427681402,up
X21,RNA5_TLR4/WT,1.28254055848808,0.060248327794337,up
APTR,Clon/WT,1.04756467278021,1.0,up
APTR,RNA7_FN1/WT,1.22834679640727,0.915195725627298,up
APTR,RNA5_TLR4/WT,1.24868778246022,0.246185295625432,up
KIAA1671,Clon/WT,-1.15994339670906,1.0,down
KIAA1671,RNA7_FN1/WT,-1.32880377392726,0.830943087363811,down
KIAA1671,RNA5_TLR4/WT,-1.26901371143648,0.467314837085772,down
PVT1,Clon/WT,-1.10188444542787,1.0,down
PVT1,RNA7_FN1/WT,1.01685870058646,0.999928367935626,up
PVT1,RNA5_TLR4/WT,1.14364086756038,0.433327899227698,up
LINC00673,Clon/WT,-1.01904262929096,1.0,down
LINC00673,RNA7_FN1/WT,-1.07196397646398,0.996257777335341,down
LINC00673,RNA5_TLR4/WT,1.20028962221519,0.592073869498485,up
SNHG5,Clon/WT,-1.02155197277769,1.0,down
SNHG5,RNA7_FN1/WT,-1.14032198182922,0.225893018027415,down
SNHG5,RNA5_TLR4/WT,1.01709020672194,0.8806743400921,up
RFX8,Clon/WT,-1.86063773422611,0.77387939986575,down
RFX8,RNA7_FN1/WT,1.34847223168355,0.792323469065078,up
RFX8,RNA5_TLR4/WT,-1.47137193034106,0.160439987578227,down
SNHG5,Clon/WT,-1.02153114031191,1.0,down
SNHG5,RNA7_FN1/WT,-1.12531244169519,0.346955137297875,down
SNHG5,RNA5_TLR4/WT,1.11142491566874,0.216316954796953,up
lnc-RAD23B-2,Clon/WT,1.10739424451846,1.0,up
lnc-RAD23B-2,RNA7_FN1/WT,-1.05110878038872,0.998207836043923,down
lnc-RAD23B-2,RNA5_TLR4/WT,1.07473859558404,0.807965743334149,up
LINC00574,Clon/WT,1.21548249010555,1.0,up
LINC00574,RNA7_FN1/WT,-1.48861837954839,0.582090617693799,down
LINC00574,RNA5_TLR4/WT,-1.24332662919233,0.462855812025652,down
MIR570HG,Clon/WT,1.07895978536234,1.0,up
MIR570HG,RNA7_FN1/WT,-1.04246791448018,0.999127731575614,down
MIR570HG,RNA5_TLR4/WT,1.23343723855037,0.335701470832296,up
UBA6-AS1,Clon/WT,1.48314128052257,1.0,up
UBA6-AS1,RNA7_FN1/WT,1.55090061589138,0.527968865805267,up
UBA6-AS1,RNA5_TLR4/WT,1.35361235337271,0.32045165826419,up
LINC00472,Clon/WT,-1.04413187289464,1.0,down
LINC00472,RNA7_FN1/WT,1.51084899561758,0.46606098554746,up
LINC00472,RNA5_TLR4/WT,2.38731672856791,6.0922325132562e-12,up
X22,Clon/WT,1.03072813288953,1.0,up
X22,RNA7_FN1/WT,1.01233125579273,0.999928367935626,up
X22,RNA5_TLR4/WT,-1.6110657829569,2.65850107580181e-06,down
LOC105377329,Clon/WT,1.07976937804115,1.0,up
LOC105377329,RNA7_FN1/WT,-1.25648849861984,0.903817837941291,down
LOC105377329,RNA5_TLR4/WT,-1.32925693537967,0.325363113025003,down
MAVS,Clon/WT,1.07070943468281,1.0,up
MAVS,RNA7_FN1/WT,-1.35573436180056,0.717022494173998,down
MAVS,RNA5_TLR4/WT,1.07771410457199,0.689292204128036,up
TALAM1,Clon/WT,-1.34011938150148,1.0,down
TALAM1,RNA7_FN1/WT,1.25750020856628,0.892155357411397,up
TALAM1,RNA5_TLR4/WT,1.16534756631062,0.552944900720298,up
TSTD3,Clon/WT,-1.03554832624217,1.0,down
TSTD3,RNA7_FN1/WT,1.06340322266648,0.993809511887536,up
TSTD3,RNA5_TLR4/WT,1.0455071644414,0.812892756590164,up
LINC01605,Clon/WT,-1.00275074057923,1.0,down
LINC01605,RNA7_FN1/WT,1.68742596848888,0.254679035384322,up
LINC01605,RNA5_TLR4/WT,-1.90276231185738,4.68496660881171e-05,down
PWAR5,Clon/WT,1.26457751392372,1.0,up
PWAR5,RNA7_FN1/WT,1.0198045011466,0.999928367935626,up
PWAR5,RNA5_TLR4/WT,1.21302697268736,0.570250831090255,up
LOC100294145,Clon/WT,1.00369587602831,1.0,up
LOC100294145,RNA7_FN1/WT,1.01638388539332,0.999928367935626,up
LOC100294145,RNA5_TLR4/WT,1.02792250820268,0.934125650835222,up
LINC01104,Clon/WT,-1.17495728288782,1.0,down
LINC01104,RNA7_FN1/WT,1.18496148703179,0.955713731442842,up
LINC01104,RNA5_TLR4/WT,-1.0156272381587,0.956555306954539,down
LINC00673,Clon/WT,-1.04509765521065,1.0,down
LINC00673,RNA7_FN1/WT,-1.03820894980237,0.998207836043923,down
LINC00673,RNA5_TLR4/WT,1.33205523810831,0.0158305063296812,up
LRRFIP1,Clon/WT,1.04044925238569,1.0,up
LRRFIP1,RNA7_FN1/WT,1.14340947949508,0.980904147203229,up
LRRFIP1,RNA5_TLR4/WT,1.53769471915741,0.0303793393816623,up
FLJ37201,Clon/WT,1.08609079129786,1.0,up
FLJ37201,RNA7_FN1/WT,1.13411017143898,0.98235855162373,up
FLJ37201,RNA5_TLR4/WT,-1.01129802126207,0.976393372456564,down
LINC01630,Clon/WT,1.05131175362149,1.0,up
LINC01630,RNA7_FN1/WT,-1.06321034718387,0.998061882189167,down
LINC01630,RNA5_TLR4/WT,-1.34093781172035,0.331129610987666,down
LOC220729,Clon/WT,-1.1396366062302,1.0,down
LOC220729,RNA7_FN1/WT,-1.31927479801974,0.80116194822661,down
LOC220729,RNA5_TLR4/WT,-1.37721953202653,0.123607173080378,down
NUP50-DT,Clon/WT,1.49958705372987,1.0,up
NUP50-DT,RNA7_FN1/WT,1.19113185667084,0.965209008391447,up
NUP50-DT,RNA5_TLR4/WT,1.6900085647535,0.0447691644202515,up
LINC01004,Clon/WT,-1.3093632228758,1.0,down
LINC01004,RNA7_FN1/WT,2.1985218493817,0.0454206168643208,up
LINC01004,RNA5_TLR4/WT,1.88632916614754,0.0051284613222772,up
X23,Clon/WT,-1.06459890949146,1.0,down
X23,RNA7_FN1/WT,-1.25607784393077,0.903817837941291,down
X23,RNA5_TLR4/WT,1.0907031907405,0.797868075447606,up
HCG18,Clon/WT,-1.0394493416654,1.0,down
HCG18,RNA7_FN1/WT,1.18569055111095,0.952321687074756,up
HCG18,RNA5_TLR4/WT,1.11443249904641,0.59189964330974,up
LINC02593,Clon/WT,-1.02712034773222,1.0,down
LINC02593,RNA7_FN1/WT,-2.47082676972088,0.0094917090291515,down
LINC02593,RNA5_TLR4/WT,-1.70304958796898,0.0230576888530525,down
LOC105375451,Clon/WT,-1.11992097735514,1.0,down
LOC105375451,RNA7_FN1/WT,-1.1302237043991,0.98251707250135,down
LOC105375451,RNA5_TLR4/WT,-1.26328017380317,0.359251993271684,down
TUG1,Clon/WT,1.07719348468029,1.0,up
TUG1,RNA7_FN1/WT,1.17914177519102,0.945764369155335,up
