"gene_symbol","module","evidence_key","classification_note"
"CLEC7A","phagocytic receptor","dectin1_contextual_resolution","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CX3CR1","patrolling/resolution receptor","fractalkine_patrolling_resolution","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"DUSP1","MAPK negative feedback","DUSP1_MAPK_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"DUSP10","MAPK negative feedback","DUSP10_MAPK_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"EPAS1","HIF2 alternative activation","HIF2_M2_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"FCGR2B","inhibitory Fc receptor","FCGR2B_inhibitory_receptor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"FGL2","immunoregulatory mediator","FGL2_immunoregulation","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"GAS6","TAM ligand/efferocytosis","Nepal2019_PNAS","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"GILZ","glucocorticoid anti-inflammatory mediator","glucocorticoid_TSC22D3_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"GPX4","antioxidant/anti-ferroptosis","GPX4_redox_ferroptosis_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"HAVCR2","checkpoint inhibitory receptor","TIM3_inhibitory_receptor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"HMOX1","heme/antioxidant resolution","heme_oxygenase_antiinflammatory","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"HPGD","prostaglandin catabolism","eicosanoid_resolution_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"HPGDS","PGD2 synthesis/resolution","Virtue2015_IJO;Rajakariar2007_PNAS","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL1R2","IL1 decoy receptor","IL1_decoy_receptor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL1RN","IL1 antagonist","IL1_receptor_antagonist","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL4R","IL4/IL13 alternative activation receptor","IL4_IL13_M2_axis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL10","anti-inflammatory cytokine","IL10_canonical","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL10RA","IL10 receptor","IL10_receptor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL10RB","IL10 receptor","IL10_receptor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL13RA1","IL13 receptor","IL13_M2_axis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IRAK3","TLR/IL1R negative regulator","IRAK3_negative_regulator","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"KLF2","anti-inflammatory transcription factor","KLF2_antiinflammatory_myeloid","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"KLF4","alternative activation transcription factor","KLF4_M2_polarization","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"LAMP2","lysosome/autophagy","autophagy_lysosome_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"LILRB1","inhibitory myeloid receptor","LILRB_inhibitory_myeloid","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"LILRB2","inhibitory myeloid receptor","LILRB_inhibitory_myeloid","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"LILRB4","inhibitory myeloid receptor","LILRB_inhibitory_myeloid","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"LIPA","lysosomal lipid homeostasis","lysosomal_lipid_homeostasis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MAF","M2 transcription factor","MAF_M2_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MAFB","macrophage differentiation/M2 TF","MAFB_macrophage_homeostasis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MARCO","scavenger receptor","scavenger_receptor_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MERTK","efferocytosis TAM receptor","Grabiec2018_EJI;Cai2018_SciSignal","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MRC1","CD206/M2 marker","CD206_M2_marker","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MSR1","scavenger receptor","scavenger_receptor_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"NFE2L2","NRF2 antioxidant regulator","NRF2_redox_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"NFKBIA","NF-kB inhibitor","NFkB_inhibitor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"NR1H3","LXR cholesterol/anti-inflammatory axis","Thomas2018_CellRep;Marathe2006_JBC","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"PPARG","PPARg alternative activation/lipid resolution","PPARG_alternative_activation","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"PTGER4","EP4 PGE2 anti-inflammatory receptor","Gill2016_BJP;Heffron2021_JTH","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"RCAN1","calcineurin/NFAT feedback","RCAN1_inflammatory_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"RXRA","RXR nuclear receptor","Thomas2018_CellRep;Marathe2006_JBC","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SIGLEC10","inhibitory/efferocytosis receptor","SIGLEC10_inhibitory_efferocytosis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SLC40A1","ferroportin iron export","Galli2004_BJH;iron_polarization_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SLC7A11","cystine/glutathione redox","glutathione_redox","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SOCS1","cytokine signaling suppressor","SOCS1_cytokine_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SOCS3","cytokine signaling suppressor","SOCS3_cytokine_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SOD2","mitochondrial antioxidant","mitochondrial_redox_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SPHK1","sphingosine signaling/resolution context","SPHK1_resolution_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SQSTM1","autophagy receptor","autophagy_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"STAB1","scavenger/endocytic receptor","STAB1_M2_scavenger","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"STAB2","scavenger/endocytic receptor","STAB2_scavenger_efferocytosis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"STAT3","IL10/TGFB signaling TF","IL10_TGFB_signaling","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"STAT6","IL4/IL13 alternative activation TF","Nepal2019_PNAS","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFB1","anti-inflammatory cytokine","TGFB_canonical","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFB2","anti-inflammatory cytokine","TGFB_canonical","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFB3","anti-inflammatory cytokine","TGFB_canonical","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFBR1","TGFB receptor","TGFB_signaling","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFBR2","TGFB receptor","TGFB_signaling","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TNFAIP3","A20 NF-kB negative regulator","Altonsy2014_JBC","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TNIP1","A20-binding NF-kB regulator","TNIP1_A20_pathway","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TREM2","lipid sensing/efferocytosis microglia-like macrophage","TREM2_lipid_efferocytosis_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TSC1","mTOR/M1 restraint","Zhu2014_NatCommun","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TXN","thioredoxin redox","thioredoxin_redox","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TXN2","mitochondrial thioredoxin redox","thioredoxin_redox","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"UCP2","mitochondrial ROS restraint","UCP2_ROS_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ULK1","autophagy initiation","autophagy_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"VSIG4","macrophage complement inhibitory receptor","VSIG4_macrophage_inhibitory","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
