"gene_symbol","module","classification_note","evidence_key"
"C5AR1","complement receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CASP1","inflammasome caspase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CASP4","noncanonical inflammasome","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CASP5","noncanonical inflammasome","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCL2","chemokine recruitment","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCL3","chemokine recruitment","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCL4","chemokine recruitment","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCL5","chemokine recruitment","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCL7","chemokine recruitment","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCL8","chemokine recruitment","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCR1","chemokine receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCR2","chemokine receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CCR5","chemokine receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CD40","costimulation/TNF receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CD48","immune activation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CD74","MHC II antigen presentation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CD80","costimulation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CD83","mature APC marker","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CD86","costimulation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CLEC4E","mincle inflammatory CLR","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"COX2","prostaglandin inflammation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CTSS","lysosomal antigen processing","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCL1","neutrophil chemokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCL2","neutrophil chemokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCL3","neutrophil chemokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCL8","IL8 neutrophil chemokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCL9","IFNg chemokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCL10","IFNg chemokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCL11","IFNg chemokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CXCR4","chemokine receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"CYBB","oxidative burst","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"DUSP2","MAPK inflammatory regulator","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"FCGR1A","high affinity Fc receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"FCGR3A","Fc receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"GBP1","IFN-inducible GTPase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"GBP2","IFN-inducible GTPase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"GBP5","IFN-inducible GTPase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"GCH1","NO/biopterin inflammatory metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HCK","myeloid inflammatory kinase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-A","MHC I","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-B","MHC I","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-C","MHC I","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DMA","MHC II processing","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DMB","MHC II processing","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DPA1","MHC II","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DPB1","MHC II","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DQA1","MHC II","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DQB1","MHC II","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DRA","MHC II","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"HLA-DRB1","MHC II","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"ICAM1","adhesion/inflammation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IDO1","tryptophan-kynurenine inflammatory axis","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFI16","DNA sensing inflammasome","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFI30","antigen processing","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFIT1","IFN-stimulated gene","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFIT2","IFN-stimulated gene","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFIT3","IFN-stimulated gene","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFNAR1","type I IFN receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFNAR2","type I IFN receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFNB1","type I IFN cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFNG","type II IFN cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFNGR1","IFNg receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IFNGR2","IFNg receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IKBKE","TLR glycolytic switch kinase","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL12A","Th1 cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL12B","Th1 cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL15","inflammatory cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL15RA","IL15 receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL18","inflammasome cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL18R1","IL18 receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL1A","IL1 cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL1B","IL1 cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL1R1","IL1 receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL23A","Th17 inflammatory cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IL6","inflammatory cytokine","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IRAK1","TLR signaling","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IRF1","IFN/NFkB TF","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IRF5","M1 macrophage TF","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"IRF7","type I IFN TF","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"ISG15","IFN-stimulated ubiquitin-like","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"ITGAM","CD11b myeloid activation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"ITGB2","integrin inflammatory adhesion","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"JAK2","JAK/IFN signaling","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"KYNU","kynurenine inflammatory metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"LST1","myeloid inflammatory marker","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"LYZ","lysozyme/macrophage activation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"MMP9","matrix inflammation","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"MPO","oxidative burst","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"MYD88","TLR adaptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"NAMPT","inflammatory NAD metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"NFKB1","NF-kB TF","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"NFKB2","NF-kB TF","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"NLRP3","inflammasome sensor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"NOS2","NO synthase M1","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"OAS1","IFN-stimulated antiviral","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"OAS2","IFN-stimulated antiviral","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"OAS3","IFN-stimulated antiviral","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"OLR1","oxLDL inflammatory receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"P2RX7","inflammasome ATP receptor","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"PDK3","HIF/glycolytic inflammatory metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"PDK4","HIF/glycolytic inflammatory metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"PFKP","glycolysis inflammatory metabolism","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
"PGD","PPP inflammatory redox","Broad pro-inflammatory/activation gene set; includes cytokines, chemokines, TLR/IFN/NF-kB machinery, antigen presentation, inflammasome, oxidative burst, adhesion and M1 metabolic activation genes.","canonical_inflammatory_macrophage_M1_literature"
