"category","subcategory","gene_symbol","role","priority","notes_for_pruning","source_type","evidence_key"
"ETC ROS and energy sensors","Antioxidant redox","PRDX1","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","PRDX3","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","PRDX5","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","SOD1","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Antioxidant redox","SOD2","Enzyme/Sensor/TF","core","ROS detox and NRF2 axis","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFA10","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFA13","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFA9","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFS1","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFS2","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFS3","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFV1","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex I","NDUFV2","ETC/Enzyme","core","NADH dehydrogenase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex III","CYC1","ETC","core","Ubiquinol-cytochrome c reductase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex III","UQCRC1","ETC","core","Ubiquinol-cytochrome c reductase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex III","UQCRC2","ETC","core","Ubiquinol-cytochrome c reductase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex III","UQCRFS1","ETC","core","Ubiquinol-cytochrome c reductase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex IV","COX4I1","ETC","core","Cytochrome c oxidase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex IV","COX4I2","ETC","core","Cytochrome c oxidase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex IV","COX5A","ETC","core","Cytochrome c oxidase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex IV","COX5B","ETC","core","Cytochrome c oxidase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex IV","CYCS","ETC","core","Cytochrome c oxidase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex V ATP synthase","ATP5F1A","ETC/Enzyme","core","ATP synthase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex V ATP synthase","ATP5F1B","ETC/Enzyme","core","ATP synthase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex V ATP synthase","ATP5F1C","ETC/Enzyme","core","ATP synthase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex V ATP synthase","ATP5MC1","ETC/Enzyme","core","ATP synthase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex V ATP synthase","ATP5MC2","ETC/Enzyme","core","ATP synthase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Complex V ATP synthase","ATP5MC3","ETC/Enzyme","core","ATP synthase","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Hypoxia sensors","EGLN1","TF/Sensor/Regulator","core","Oxygen sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Hypoxia sensors","EGLN2","TF/Sensor/Regulator","core","Oxygen sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Hypoxia sensors","EGLN3","TF/Sensor/Regulator","core","Oxygen sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Hypoxia sensors","VHL","TF/Sensor/Regulator","core","Oxygen sensing","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitochondrial biogenesis uncoupling","PPARGC1A","Regulator","core","Mitochondrial mass and uncoupling","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitochondrial biogenesis uncoupling","PPARGC1B","Regulator","core","Mitochondrial mass and uncoupling","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitochondrial biogenesis uncoupling","TFAM","Regulator","core","Mitochondrial mass and uncoupling","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitochondrial biogenesis uncoupling","UCP2","Regulator","core","Mitochondrial mass and uncoupling","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","ATG5","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","ATG7","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","BECN1","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","BNIP3","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","BNIP3L","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","CALCOCO2","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","FUNDC1","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","GABARAPL1","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","MAP1LC3B","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","OPTN","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","PINK1","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","PRKN","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Mitophagy autophagy","SQSTM1","Sensor/Regulator","core","Mitochondrial quality control","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","CYBA","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","CYBB","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","MPO","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","NCF1","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","NCF2","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","NCF4","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","RAC1","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"ETC ROS and energy sensors","Oxidative burst","RAC2","Enzyme/Regulator","core","NOX2 phagocytic burst","user_table","preexisting_user_curation"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","ACADL","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","ACADS","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","CPT1B","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","ECHS1","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","ETFA","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","ETFB","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","ETFDH","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Fatty acid oxidation","Carnitine shuttle and beta-oxidation","HADH","Enzyme/transporter","expanded_context","Include with caution: FAO is historically linked to alternative activation, but genetic CPT2/FAO studies complicate simple M2 interpretation.","bibliography_expanded","Nomura2016_CellRep;Huang2014_Nature"
"Glucose metabolism","Core glycolysis","ALDOA","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","ENO1","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","GAPDH","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","GPI","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","LDHA","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","LDHB","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","PFKFB3","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","PFKL","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","PFKP","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","PGAM1","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","PGK1","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","PKM","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Core glycolysis","TPI1","Enzyme/Regulator","core","Glycolytic flux and lactate","user_table","preexisting_user_curation"
"Glucose metabolism","Gluconeogenesis signaling","FBP1","Enzyme","core","Cataplerosis/signaling","user_table","preexisting_user_curation"
"Glucose metabolism","Gluconeogenesis signaling","FBP2","Enzyme","core","Cataplerosis/signaling","user_table","preexisting_user_curation"
"Glucose metabolism","Gluconeogenesis signaling","PCK2","Enzyme","core","Cataplerosis/signaling","user_table","preexisting_user_curation"
"Glucose metabolism","Glucose transport","SLC2A1","Transporter","core","Glucose uptake; useful for glycolytic activation","user_table","preexisting_user_curation"
"Glucose metabolism","Glucose transport","SLC2A3","Transporter","core","Glucose uptake; useful for glycolytic activation","user_table","preexisting_user_curation"
"Glucose metabolism","Glucose transport","SLC2A6","Transporter","core","Glucose uptake; useful for glycolytic activation","user_table","preexisting_user_curation"
"Glucose metabolism","Glycogen","GYS1","Enzyme/Regulator","core","Glycogen synthesis/degradation","user_table","preexisting_user_curation"
