"gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","sex_overexpressed","module","evidence_key","classification_note"
"IL10",-3.06480282,-2.95961112222222,-9.33541174025978,2.11825862061513e-06,3.50145095076698e-05,5.23486168035071,"Female","anti-inflammatory cytokine","IL10_canonical","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"LAMP2",-1.5842946,-1.54472053333333,-6.43501526083971,6.07163672227134e-05,0.000494700401121426,1.6995431920481,"Female","lysosome/autophagy","autophagy_lysosome_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"LIPA",-2.45629924,-2.62941096666667,-9.27034701743968,2.26267997090802e-06,3.67374642741164e-05,5.16566608833436,"Female","lysosomal lipid homeostasis","lysosomal_lipid_homeostasis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MAF",-2.9507799,-2.10030257777778,-6.32070432202156,7.07006675598428e-05,0.000563248651560081,1.53894053894542,"Female","M2 transcription factor","MAF_M2_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MARCO",-4.43748932,-4.56101175555556,-7.51525886235997,1.56189025520869e-05,0.000161262045069786,3.13220005418875,"Female","scavenger receptor","scavenger_receptor_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MERTK",-3.62779816,-3.52337546666667,-10.8397117534524,5.07452365025523e-07,1.14097216428909e-05,6.72830229338936,"Female","efferocytosis TAM receptor","Grabiec2018_EJI;Cai2018_SciSignal","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"MSR1",-2.91762646,-2.87299902222222,-8.43319346247243,5.47207404380255e-06,7.06225876093157e-05,4.23749773057506,"Female","scavenger receptor","scavenger_receptor_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"RXRA",-1.1359848,-1.32811207777778,-5.11076569735826,0.000395149550427638,0.00230482785309323,-0.27243057694459,"Female","RXR nuclear receptor","Thomas2018_CellRep;Marathe2006_JBC","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SLC40A1",-6.05063524,-5.9981941,-28.0028680222129,3.46920458964942e-11,8.95471088680309e-09,16.0350234611539,"Female","ferroportin iron export","Galli2004_BJH;iron_polarization_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"STAB1",-8.959082,-8.82250826666667,-28.486508886677,2.90594372374917e-11,8.17755553196106e-09,16.1857990422615,"Female","scavenger/endocytic receptor","STAB1_M2_scavenger","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFB1",-1.37136823,-1.52770583888889,-5.62710578252716,0.00018492132005911,0.00123274512225355,0.52568070849453,"Female","anti-inflammatory cytokine","TGFB_canonical","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFB2",-1.187582366,-0.457483883333333,-3.33436378968115,0.00710850097621294,0.0252594475768183,-3.26847285445402,"Female","anti-inflammatory cytokine","TGFB_canonical","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFBR1",-1.097161192,-1.06873564,-5.22094474378022,0.000334972798143663,0.00200703757327861,-0.0989974463932288,"Female","TGFB receptor","TGFB_signaling","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TGFBR2",-2.34089986,-2.51066992222222,-9.51169074891999,1.77489917854069e-06,3.07887752664599e-05,5.42030066982056,"Female","TGFB receptor","TGFB_signaling","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TREM2",-1.239456562,-1.50231510111111,-4.08333067275219,0.00200259599079225,0.00880296452900709,-1.96624116757139,"Female","lipid sensing/efferocytosis microglia-like macrophage","TREM2_lipid_efferocytosis_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TSC1",-0.622659876,-0.600254058888889,-4.10377751157724,0.00193624923860534,0.0085520987931008,-1.93131515438478,"Female","mTOR/M1 restraint","Zhu2014_NatCommun","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TXN2",-0.86048183,-0.915424661111111,-4.22869042036539,0.00157789181734692,0.00719077393879919,-1.71889253480376,"Female","mitochondrial thioredoxin redox","thioredoxin_redox","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"UCP2",-1.23342704,-1.30423619666667,-3.37915579287729,0.00657966610966415,0.0237066361840663,-3.18973960745334,"Female","mitochondrial ROS restraint","UCP2_ROS_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"VSIG4",-7.52625916,-7.47964511111111,-16.4103485421547,8.28648273068317e-09,4.8611520964635e-07,10.9271564712207,"Female","macrophage complement inhibitory receptor","VSIG4_macrophage_inhibitory","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ABCG1",1.305552648,1.35890058222222,6.76368219589647,3.95634107166932e-05,0.000345470486271747,2.15148661409913,"Male","cholesterol efflux","Wang2006_ATVB;YvanCharvet2008_Circulation","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ADORA2A",7.14919564,6.96143395555556,19.8880451972496,1.17338528016727e-09,1.05164655734992e-07,12.8346111835257,"Male","adenosine signaling","adenosine_A2A_macrophage_antiinflammatory","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ATF3",5.40824634,5.3768987,33.2635902043792,5.82615850435085e-12,3.2999526582718e-09,17.4987874280189,"Male","negative inflammatory regulator","ATF3_TLR_negative_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ATG5",1.023400312,1.06547811111111,6.04998225331033,0.000102097721766402,0.000762542359442816,1.15142746319242,"Male","autophagy/mitophagy","Liu2018_BBA;Cai2022_Autophagy","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"BCL3",1.88056906,1.89065562222222,10.7697889320488,5.40249692345386e-07,1.18984002208354e-05,6.66311094168868,"Male","NF-kB negative feedback","NFkB_feedback_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CCL22",4.6457356,4.51392577777778,8.87811352122841,3.39452966168186e-06,4.90042503508569e-05,4.73971721734011,"Male","M2/Th2 chemokine","M2_human_macrophage_marker","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"CD274",5.74755146,5.81239358888889,32.6096972947312,7.15935800647841e-12,3.2999526582718e-09,17.3362094669903,"Male","checkpoint inhibitory ligand","PDL1_checkpoint_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"DUSP1",1.5338953,1.7065738,6.07942546124341,9.80509218455744e-05,0.000736580440825951,1.19406420184421,"Male","MAPK negative feedback","DUSP1_MAPK_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"DUSP10",1.303505894,1.33454699111111,3.5642074082091,0.00478938045101477,0.0179999254807212,-2.8651720560818,"Male","MAPK negative feedback","DUSP10_MAPK_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"GPX4",1.48789062,1.55465486,7.16041311943424,2.4020143913347e-05,0.000230314990598556,2.67809390665951,"Male","antioxidant/anti-ferroptosis","GPX4_redox_ferroptosis_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL10RA",0.675860984,0.533013871111111,3.72727123033752,0.00363013241866714,0.0144753967626413,-2.58060136479689,"Male","IL10 receptor","IL10_receptor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL13RA1",1.12083473,1.09962156111111,5.08674837532662,0.000409734296611954,0.00237998887663886,-0.310459245955714,"Male","IL13 receptor","IL13_M2_axis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL1RN",2.21682222,2.34905327777778,5.63773518306201,0.000182125361163793,0.0012153618982316,0.541717289462789,"Male","IL1 antagonist","IL1_receptor_antagonist","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"IL4R",1.67946968,1.7368626,8.53289189045151,4.90862697992555e-06,6.53448113915045e-05,4.351854969558,"Male","IL4/IL13 alternative activation receptor","IL4_IL13_M2_axis","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"NFKBIA",2.19366358,2.29675238888889,12.7169287622019,1.06275957166004e-07,3.1589681625418e-06,8.34545886283464,"Male","NF-kB inhibitor","NFkB_inhibitor","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"PTGER4",1.95187206,1.96580558888889,8.02939963037337,8.58503591842204e-06,0.000100657737199228,3.76318106596966,"Male","EP4 PGE2 anti-inflammatory receptor","Gill2016_BJP;Heffron2021_JTH","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SLC7A11",4.6312748,4.50849205555556,18.6620473566608,2.24635505083265e-09,1.78959619049668e-07,12.2092471813111,"Male","cystine/glutathione redox","glutathione_redox","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SOCS1",6.15167224,6.20576805555556,30.9620381082308,1.22582342352809e-11,4.65308150119223e-09,16.9036854638098,"Male","cytokine signaling suppressor","SOCS1_cytokine_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SOCS3",2.41242124,2.54427698888889,12.8515761535888,9.57619501528583e-08,2.95670748486313e-06,8.45242206577652,"Male","cytokine signaling suppressor","SOCS3_cytokine_feedback","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SOD2",3.81023288,3.96020102222222,17.6029476535069,4.07020510452986e-09,2.98466290221945e-07,11.6293269809522,"Male","mitochondrial antioxidant","mitochondrial_redox_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SPHK1",0.883986856,1.04396988444444,3.58431243069543,0.00462782400122776,0.01752543913141,-2.83000119908126,"Male","sphingosine signaling/resolution context","SPHK1_resolution_context","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"SQSTM1",1.6569006,1.43619654,7.36519225985376,1.87036845045559e-05,0.00018683417354164,2.94206036397756,"Male","autophagy receptor","autophagy_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"STAT3",1.39403324,1.24554855555556,5.89640759815384,0.000126317311230958,0.000906702568824665,0.92707636885949,"Male","IL10/TGFB signaling TF","IL10_TGFB_signaling","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"TNFAIP3",4.04303918,4.20755803333333,20.6278999008657,8.07499297151901e-10,8.32632201791536e-08,13.1902353857883,"Male","A20 NF-kB negative regulator","Altonsy2014_JBC","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
"ULK1",1.27321586,1.25511847111111,6.20968512933579,8.21021885780502e-05,0.000632981389359806,1.38125072755997,"Male","autophagy initiation","autophagy_literature","Broad anti-inflammatory/resolution gene set; includes canonical cytokines/receptors, inhibitory receptors, M2/resolution markers, efferocytosis receptors, negative inflammatory feedback and antioxidant/autophagy homeostasis genes."
